id,date,time,city,area,vehicle_count,avg_speed,congestion_level,weather,accident_count,road_type,signal_wait_time,travel_time
"1","2026-01-10","08:00:00","Hyderabad","Madhapur","1250","22","High","Sunny","2","Highway","180","35"
"2","2026-01-10","09:00:00","Bangalore","Electronic City","1850","12","High","Rainy","5","Highway","320","55"
"3","2026-01-10","10:00:00","Vijayawada","Benz Circle","980","28","Medium","Sunny","1","City Road","120","25"
"4","2026-01-10","07:00:00","Mumbai","Andheri","2100","10","High","Foggy","4","Highway","420","65"
"5","2026-01-10","11:00:00","Delhi","Connaught Place","1320","24","Medium","Sunny","2","City Road","160","32"
"6","2026-01-10","06:30:00","Chennai","T Nagar","760","35","Medium","Sunny","1","City Road","80","22"
"7","2026-01-10","08:30:00","Hyderabad","Gachibowli","1680","16","High","Rainy","3","Highway","280","48"
"8","2026-01-10","05:45:00","Pune","Hinjewadi","920","30","Low","Cloudy","0","Highway","70","20"
"9","2026-01-10","07:45:00","Delhi","Karol Bagh","1450","19","High","Foggy","4","City Road","250","42"
"10","2026-01-10","09:15:00","Bangalore","Whitefield","1920","11","High","Rainy","5","Highway","340","58"
"11","2026-01-10","10:30:00","Mumbai","Bandra","1750","14","High","Sunny","2","Highway","300","50"
"12","2026-01-10","11:15:00","Vijayawada","Governorpet","860","29","Medium","Sunny","1","City Road","110","24"
"13","2026-01-10","12:00:00","Kolkata","Howrah","1320","22","Medium","Rainy","2","City Road","180","36"
"14","2026-01-10","01:30:00","Chennai","Anna Nagar","980","27","Low","Cloudy","0","City Road","90","21"
"15","2026-01-10","02:00:00","Hyderabad","Kukatpally","1540","18","High","Sunny","3","Highway","260","44"
